ReduceAction: 
START: 1	Meet: #         	R2: funcs -> $ 
START: 3	Meet: id        	R4: type -> int 
START: 4	Meet: id        	R5: type -> short 
START: 5	Meet: id        	R6: type -> long 
START: 6	Meet: id        	R7: type -> char 
START: 7	Meet: id        	R8: type -> float 
START: 8	Meet: id        	R9: type -> double 
START: 9	Meet: id        	R10: type -> void 
START: 11	Meet: #         	R0: S -> func funcs 
START: 12	Meet: #         	R2: funcs -> $ 
START: 14	Meet: id        	R11: type -> unsigned type 
START: 15	Meet: #         	R1: funcs -> func funcs 
START: 16	Meet: )         	R13: args -> $ 
START: 20	Meet: )         	R15: arg -> $ 
START: 21	Meet: int       	R3: func -> type id ( args ) func_body 
START: 21	Meet: short     	R3: func -> type id ( args ) func_body 
START: 21	Meet: long      	R3: func -> type id ( args ) func_body 
START: 21	Meet: char      	R3: func -> type id ( args ) func_body 
START: 21	Meet: float     	R3: func -> type id ( args ) func_body 
START: 21	Meet: double    	R3: func -> type id ( args ) func_body 
START: 21	Meet: void      	R3: func -> type id ( args ) func_body 
START: 21	Meet: unsigned  	R3: func -> type id ( args ) func_body 
START: 21	Meet: #         	R3: func -> type id ( args ) func_body 
START: 22	Meet: int       	R16: func_body -> ; 
START: 22	Meet: short     	R16: func_body -> ; 
START: 22	Meet: long      	R16: func_body -> ; 
START: 22	Meet: char      	R16: func_body -> ; 
START: 22	Meet: float     	R16: func_body -> ; 
START: 22	Meet: double    	R16: func_body -> ; 
START: 22	Meet: void      	R16: func_body -> ; 
START: 22	Meet: unsigned  	R16: func_body -> ; 
START: 22	Meet: #         	R16: func_body -> ; 
START: 23	Meet: int       	R17: func_body -> block 
START: 23	Meet: short     	R17: func_body -> block 
START: 23	Meet: long      	R17: func_body -> block 
START: 23	Meet: char      	R17: func_body -> block 
START: 23	Meet: float     	R17: func_body -> block 
START: 23	Meet: double    	R17: func_body -> block 
START: 23	Meet: void      	R17: func_body -> block 
START: 23	Meet: unsigned  	R17: func_body -> block 
START: 23	Meet: #         	R17: func_body -> block 
START: 24	Meet: continue  	R20: define_stmts -> $ 
START: 24	Meet: break     	R20: define_stmts -> $ 
START: 24	Meet: return    	R20: define_stmts -> $ 
START: 24	Meet: while     	R20: define_stmts -> $ 
START: 24	Meet: for       	R20: define_stmts -> $ 
START: 24	Meet: do        	R20: define_stmts -> $ 
START: 24	Meet: if        	R20: define_stmts -> $ 
START: 24	Meet: switch    	R20: define_stmts -> $ 
START: 24	Meet: (         	R20: define_stmts -> $ 
START: 24	Meet: id        	R20: define_stmts -> $ 
START: 24	Meet: digit     	R20: define_stmts -> $ 
START: 24	Meet: }         	R20: define_stmts -> $ 
START: 25	Meet: )         	R12: args -> type id arg 
START: 27	Meet: }         	R27: stmts -> $ 
START: 27	Meet: case      	R27: stmts -> $ 
START: 27	Meet: default   	R27: stmts -> $ 
START: 28	Meet: continue  	R20: define_stmts -> $ 
START: 28	Meet: break     	R20: define_stmts -> $ 
START: 28	Meet: return    	R20: define_stmts -> $ 
START: 28	Meet: while     	R20: define_stmts -> $ 
START: 28	Meet: for       	R20: define_stmts -> $ 
START: 28	Meet: do        	R20: define_stmts -> $ 
START: 28	Meet: if        	R20: define_stmts -> $ 
START: 28	Meet: switch    	R20: define_stmts -> $ 
START: 28	Meet: (         	R20: define_stmts -> $ 
